class_id,class,support,classwise_ece,nll_true_class,brier_true_class
0,BenignTraffic,32325,0.001439728565730377,0.23967696726322174,0.08186444640159607
1,DDoS-RSTFINFlood,118328,0.006555006491882923,0.03900453820824623,0.0019000973552465439
2,DDoS-PSHACK_Flood,120402,0.004958389030580738,0.028100833296775818,0.0011064826976507902
3,DDoS-SYN_Flood,119572,0.00626107880358702,0.040821898728609085,0.0033798804506659508
4,DDoS-UDP_Flood,159407,0.00950921896733362,0.04654594883322716,0.0036998684518039227
5,DDoS-TCP_Flood,131865,0.004121250371008389,0.023456202819943428,0.0020144942682236433
6,DDoS-ICMP_Flood,211967,0.0074343136917281215,0.02523377165198326,0.0011485686991363764
7,DDoS-SynonymousIP_Flood,105406,0.005059369698394147,0.036961812525987625,0.002835416467860341
8,DDoS-ACK_Fragmentation,8341,0.0021005728127736476,0.1954135149717331,0.04758812114596367
9,DDoS-UDP_Fragmentation,8413,0.002714708306651171,0.27489399909973145,0.08435006439685822
10,DDoS-ICMP_Fragmentation,13291,0.0004653884550249185,0.025264063850045204,0.002404456492513418
11,DDoS-SlowLoris,763,0.0007749612317740714,1.5581218004226685,0.8514822125434875
12,DDoS-HTTP_Flood,804,0.00036802088474789386,0.3576080799102783,0.14780227839946747
13,DoS-UDP_Flood,97603,0.001979828451268346,0.016530929133296013,0.0013565289555117488
14,DoS-SYN_Flood,60068,0.0015175690290771208,0.020055683329701424,0.0015621035126969218
15,DoS-TCP_Flood,78916,0.0014922264910843877,0.015277084894478321,0.0013513248413801193
16,DoS-HTTP_Flood,2062,0.0006214370533415307,0.27224674820899963,0.1014118492603302
17,Mirai-greeth_flood,29115,0.002369381571448872,0.05594465509057045,0.005601384676992893
18,Mirai-greip_flood,22001,0.0020191609370646007,0.0703149065375328,0.010132677853107452
19,Mirai-udpplain,26156,0.0009172818421635403,0.02437884733080864,0.0012484837789088488
20,Recon-PingSweep,66,1.5214672183313399e-06,5.333460330963135,1.1994892358779907
21,Recon-OSScan,2933,0.000856709428298274,2.15847110748291,1.0957460403442383
22,Recon-PortScan,2439,0.0007531591889390102,1.935408592224121,0.8771836757659912
23,VulnerabilityScan,1103,2.4354111968756885e-05,0.03706170991063118,0.017252204939723015
24,Recon-HostDiscovery,3892,0.0009465091480411952,0.9508212208747864,0.4247586131095886
25,DNS_Spoofing,5254,0.001927297885436877,1.458673357963562,0.7932586073875427
26,MITM-ArpSpoofing,9241,0.0012719192417577727,0.8041031956672668,0.3922114372253418
27,BrowserHijacking,178,5.255903952656823e-05,3.6860783100128174,1.0906603336334229
28,Backdoor_Malware,91,2.3731412359088206e-06,4.364213943481445,1.0981955528259277
29,XSS,118,1.774757427945089e-05,4.051456451416016,1.0860528945922852
30,Uploading_Attack,37,1.3517810402901815e-05,6.033320903778076,1.117401123046875
31,SqlInjection,172,1.3614224952041378e-05,3.977386474609375,1.097298502922058
32,CommandInjection,173,2.967797254780587e-05,3.5806055068969727,1.0116666555404663
33,DictionaryBruteForce,394,3.2221668135026975e-05,3.1435279846191406,0.9657135009765625
