epoch,train_loss,val_fine_accuracy,val_fine_balanced_accuracy,val_fine_macro_f1,val_fine_weighted_f1,val_coarse_accuracy,val_coarse_balanced_accuracy,val_coarse_macro_f1,val_coarse_weighted_f1,val_bin_f1,best_score_so_far,best_epoch_so_far
1,1.7802982178314937,0.9813262568821706,0.6531433583382951,0.6531600401354133,0.9796267402052048,0.9902290851568599,0.6676573527751588,0.6886098743760694,0.9896090991566616,0.9967691848638609,0.6531600401354133,1
2,0.3280612308068023,0.9852064214081397,0.6529814777119851,0.6563482338799845,0.9835447776928246,0.9899603735964857,0.6571860178961791,0.6771175624569001,0.989269801746781,0.9965254547108341,0.6563482338799845,2
3,0.23205286671993663,0.9862603636385749,0.6604727967911547,0.6634942392113887,0.9845129151386319,0.9903636309735112,0.6665210541178526,0.68800646423999,0.9897185125079552,0.9966295828597559,0.6634942392113887,3
4,0.2460075431791081,0.9872451325960425,0.6764193260831961,0.6827164653896731,0.9856105316316329,0.9908018550599489,0.6709461976553933,0.6934502817630404,0.9902083999172528,0.9968006935270806,0.6827164653896731,4
5,0.22416477515417008,0.9878882159908843,0.6869316478730807,0.6944840310656596,0.9863631804471336,0.9911336587264364,0.6773844392012972,0.7005559859196562,0.9905785407794767,0.9969283001982439,0.6944840310656596,5
6,0.2108072004383998,0.9882690490651346,0.6942691766428947,0.6985259280018087,0.9868311994881221,0.9914373369962228,0.6830004620155568,0.707004773677103,0.9909541771240313,0.9969680665935287,0.6985259280018087,6
7,0.20443740641109726,0.9884974728950991,0.6967069412698029,0.7029694798298851,0.9871103929903928,0.9916079897410716,0.685380436326656,0.7108035041157281,0.991125916026857,0.9970537624108214,0.7029694798298851,7
8,0.19865628475476999,0.9888144537173793,0.7023798926146757,0.7099762816632502,0.987477691057183,0.9917987863511251,0.6855705912800705,0.7104990969660046,0.9913006981759884,0.9971534155411713,0.7099762816632502,8
9,0.19427641817725846,0.9891143312578817,0.7033334282663527,0.7149906051715392,0.9878956549990859,0.9920131474827389,0.6938483975277159,0.7217104936575856,0.991566796884373,0.9972172310114906,0.7149906051715392,9
10,0.1907152642530751,0.989305888013792,0.7098816754580402,0.720267508467906,0.9881567769026071,0.9921651766540964,0.6975873098356493,0.7267039533525562,0.991734194007918,0.9972630638225791,0.720267508467906,10
