method,nll,ece,brier
Isotonic regression,0.03885936599607636,0.005657347531019452,0.016087389836025826
Vector scaling,0.047312722009470204,0.013895476301975474,0.013010178193276545
Dirichlet calibration,0.0648806444246904,0.03157275576188783,0.017320007028107577
Temperature scaling,0.8944079797104818,0.5592632393186304,0.3903995022158202
Uncalibrated,0.8944079797104818,0.5592632393186304,0.3903995022158202
