fine_accuracy,fine_macro_f1,coarse_accuracy,coarse_macro_f1,bin_f1_malicious
0.9919798930652409,0.7784714530675959,0.9938999186655822,0.8066140366485318,0.9979822533893705
0.9918132241763223,0.7672095976071822,0.9939265856878091,0.7959021745483656,0.9979847248978699
0.9920932279097054,0.7737874214252545,0.9942799237323164,0.8062898373559306,0.9979986202091544
0.991539887198496,0.7611858335105772,0.9935465806210749,0.7964785421274384,0.9978289514108403
0.9919932265763544,0.7612325712574127,0.9939532527100361,0.7918571666019318,0.9979778520142917
0.9921132281763757,0.7726446042855585,0.9942465899545327,0.8209516552765276,0.998027801852092
0.9921598954652728,0.7740170595223654,0.9942265896878625,0.7965682430684055,0.9981113968491405
0.9917532233763117,0.7774038795849332,0.9935465806210749,0.7839337146674613,0.9977325811694964
0.992233229776397,0.7638359072400464,0.9939932532433766,0.7583138817531618,0.9979820329225695
0.9920932279097054,0.7690769148351437,0.9940199202656036,0.7808325381623875,0.998027424936352
0.9918598914652196,0.7732211365390756,0.9939599194655929,0.8017267094707392,0.9979919404412267
0.9919598927985707,0.7761704102872969,0.9938865851544687,0.8126253117742459,0.9979066852890858
0.9925532340431206,0.7945443312945637,0.9943199242656569,0.8172325876554327,0.9979779348977013
0.9919732263096841,0.7858286968422438,0.9937865838211176,0.8123423147514274,0.9977825384297365
0.9923732316430885,0.7644148037140142,0.9942932572434299,0.7949581395383347,0.9980648001829395
0.9918798917318897,0.7614310808456575,0.9938065840877879,0.799034234956522,0.9980284086832025
0.992593234576461,0.7699410126045293,0.9943465912878838,0.7855161496000587,0.9980087641700509
0.9918798917318897,0.7664140512294705,0.9939665862211496,0.7883382174522113,0.9979505256901605
0.9922665635541807,0.7689108162742182,0.9939865864878198,0.7875659456035555,0.9979791911302875
0.9919665595541274,0.77586741019852,0.9937199162655502,0.7976499974621998,0.997897137239105
0.9923532313764184,0.7777120924323674,0.9943599247989974,0.8057502501645053,0.9980710864392256
0.9923732316430885,0.7794885449162576,0.9941599221322951,0.7975407613869716,0.9979553313284885
0.9922532300430672,0.7725238626574886,0.9941999226656355,0.8059645809172871,0.9980499366485549
0.9916132215096202,0.779685404237228,0.9935999146655289,0.7933864539144313,0.9978799744641047
0.9918198909318791,0.7593629550320827,0.9937399165322204,0.7711274698387567,0.9979245038266961
0.9919932265763544,0.7646766858056478,0.9938932519100254,0.7863659089704148,0.9979051400958919
0.9919865598207976,0.7801802505429434,0.9941065880878411,0.8131850082083976,0.9980982816250303
0.9921332284430459,0.7694311586122056,0.9941665888878518,0.8047559256836732,0.9979774789548486
0.9922265630208402,0.764207023736036,0.9941599221322951,0.8077692578088266,0.9979468504138753
0.9919798930652409,0.762903711525285,0.9939599194655929,0.8013774191280785,0.9979714084709065
0.9923332311097481,0.7756189989770061,0.9941265883545114,0.7930721999881455,0.9979731389730571
0.9920932279097054,0.77686627737383,0.9939999199989333,0.825838643530457,0.9980159475472535
0.9922132295097268,0.7756545218215137,0.9939532527100361,0.8025410647257336,0.9979573154068974
0.9917732236429819,0.7604816345010077,0.9939199189322524,0.8012732674859423,0.9979815504834374
0.99189989199856,0.76820434649607,0.9938399178655716,0.7738973156049807,0.9978886231636488
0.9922998973319644,0.7698721788665043,0.9942599234656462,0.7894009112065945,0.9980650379313993
0.9922798970652942,0.761644701628328,0.9942932572434299,0.8041190010195036,0.9980299031340588
0.991846557954106,0.7618294923608994,0.9941265883545114,0.8128675291702391,0.9979821569410728
0.9917132228429713,0.7742781352489275,0.9935665808877452,0.7855347749949881,0.9979067281785803
0.99189989199856,0.7442826846563286,0.9937932505766743,0.7731779639715463,0.9978002008512267
0.9917998906652089,0.7787183427946128,0.9939399191989227,0.8162647219052599,0.9978296460101375
0.9919665595541274,0.7803798250340842,0.9939799197322631,0.7921644840264327,0.997948392338389
0.9913532180429072,0.7691742014006565,0.9933132441765891,0.8004099907642089,0.9976879915579249
0.9918332244429926,0.7607764111005465,0.9938465846211283,0.7808752429942145,0.9979863041330338
0.9921132281763757,0.7690097869839402,0.9938665848877986,0.7820096390291361,0.9978529180484803
0.9921865624874998,0.7780860532924218,0.9939865864878198,0.803992393046365,0.9979138284832406
