predicted_coarse_id,predicted_coarse_family,calibration_samples,quantile_threshold,empirical_coverage,avg_set_size
0,Benign,34922,0.9938623905181885,0.9889251944597056,3.673394442356071
1,DDoS,1012276,0.9852436780929565,0.9999779707892665,2.0299437053532983
2,Mirai,78251,0.980621874332428,1.0,1.0577714507570855
3,Recon,9774,0.9972112774848938,0.9846964629573325,5.380561467517989
4,Spoofing,13526,0.9579683542251587,0.9225930585362244,3.4830163546214754
5,Web-based,257,0.9824354648590088,0.891156462585034,8.76530612244898
6,Brute Force,197,0.9739094376564026,0.8947368421052632,4.754385964912281
7,DoS,240294,0.9915847778320312,1.0,1.211991246163908
