coarse_class,support,precision,recall,f1
Brute Force,394,0.6549707602339181,0.28426395939086296,0.39646017699115044
Web-based,769,0.7244897959183674,0.27698309492847856,0.4007525870178739
Recon,10433,0.8010540184453228,0.7575960893319276,0.7787192118226601
Spoofing,14495,0.8491082661141124,0.7915833045877889,0.8193373321908026
Benign,32325,0.8862446866957754,0.9481515854601702,0.9161535242422431
DoS,238649,0.9997987623886905,0.9992750860049696,0.9995368556058285
DDoS,998559,0.999814754364287,0.9999298989844366,0.9998723233593677
Mirai,77272,1.0,0.9999741174034579,0.9999870585342496
